id,name,city_id,pincode,latitude,longitude,phone_no,status,user_id,default_image_file_name,default_image_content_type,default_image_file_size,default_image_updated_at,address,areahop_id,neighborhood,state,website,business_email
6,Shiro,1,560001,12.971132,77.597251,"080 4173 8864",1,0,NULL,NULL,NULL,NULL,"222, 3rd Floor,Triple Height, Vittal Mallya Road",6aea06e4-ec685103-687674-1454668322,"Vittal Mallya Road",,,
10,"Indigo Live Music Bar",1,560095,12.932835,77.614195,"080 2553 5330",1,0,NULL,NULL,NULL,NULL,"71/72, Jyoti Nivas College Road, 6th Block, Industrial Layout, Koramangala",da3c8d78-c9ae10a7-f21cb7-1454668323,Koramangala,,http://www.indigolive.in/,
11,Rewind,1,560043,13.015904,77.637862,"+91 9886653578",1,0,NULL,NULL,NULL,NULL,"315, HRBR Layout, 2nd Block, 7th Main",36e3e779-f04cf5b1-946231-1454668323,Kammanahalli,Karnataka,,
369,"Goli Vada Pav No. 1",1,560001,12.921646,77.592438,"097395 82595",1,0,NULL,NULL,NULL,NULL,"1332 41st Cross, 24th A Main, Near Jain College, Next To Big Bazar",7c1b548d-8e31cd2f-340459-1454668595,Jayanagar,Karnataka,NULL,NULL
1499,"The Forum Mall",1,560029,12.934604,77.611317,"080 2206 7813",1,0,NULL,NULL,NULL,NULL,"21 Hosur Main Road",91ba1ca5-4976354d-8ce741-1454669912,Koramangala,Karnataka,NULL,NULL
1522,"Phoenix Marketcity",1,560048,12.990873,77.721890,"080 4067 7300",1,0,NULL,NULL,NULL,NULL,"Whitefield Main Road",ab3c48f9-ebbb391e-4df613-1454669924,Whitefield,Karnataka,,
1921,"Millennium Optiks",1,560102,12.976594,77.599271,"080 4130 3045",1,0,thumb_IMG_6219_1024.jpg,image/jpeg,280808,"2016-02-12 17:09:15","27th Main Road, Sector 1",002c9d2b-bbf51483-b04f14-1454670065,"HSR Layout",Karnataka,,
2322,"O2 Spa",1,560001,12.971132,77.597251,"099023 31966",1,0,NULL,NULL,NULL,NULL,"Mezzanine Floor Property No.5, Embassy Chambers, Vittal Mallya Road",932b2505-81422831-9c7325-1454670638,"Ashok Nagar",Karnataka,,
2404,Anoo's,1,560029,12.934257,77.604399,"080 2550 2626",1,0,NULL,NULL,NULL,NULL,"S.V. Tower, Dairy Circle Road, Opposite Forum Mall, Next To Skc, Koramangala",20629616-7d5fa0c3-d8e4ce-1454670659,Koramangala,Karnataka,,
3153,"Garuda Autocraft Pvt. Ltd.",1,560027,12.959089,77.586098,"080 2221 5782",1,0,NULL,NULL,NULL,NULL,"29, Lalbagh Main Road",965d1eb3-46ffa34f-351edf-1454670910,"Lalbagh Road",Karnataka,,
